item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	quotation_qualifier	version_id	lang	source_url	retrieved	media_type	bytes	sha256
C10_1800010118000101	Utah Code Title 10	Utah Municipal Code	legislative	in-force		authoritative			C10_1800010118000101	eng	https://le.utah.gov/xcode/Title10/C10_1800010118000101.xml	2026-07-28	application/xml	1887650	0875ecfdd88edb75507638123f99fccfbc47cdf06d1c9581d8a9801053439766
C11_1800010118000101	Utah Code Title 11	Cities, Counties, and Local Taxing Units	legislative	in-force		authoritative			C11_1800010118000101	eng	https://le.utah.gov/xcode/Title11/C11_1800010118000101.xml	2026-07-28	application/xml	1929276	386063d46277eafe6272da4b9a9d792e3c173aa4f62ac1efb7d97cd76f26cdcb
C12_1800010118000101	Utah Code Title 12	Collection Agencies	legislative	in-force		authoritative			C12_1800010118000101	eng	https://le.utah.gov/xcode/Title12/C12_1800010118000101.xml	2026-07-28	application/xml	5132	bf1dab3ed7cdbcb073fd32153a7fb607f74535a9fd72357caaab5000e3affb2b
C13_1800010118000101	Utah Code Title 13	Commerce and Trade	legislative	in-force		authoritative			C13_1800010118000101	eng	https://le.utah.gov/xcode/Title13/C13_1800010118000101.xml	2026-07-28	application/xml	2090291	1c0363608f119c7758e06b632967aba25e6459bb343409f0b96d0a6d64774b2e
C14_1800010118000101	Utah Code Title 14	Contractors' Bonds	legislative	in-force		authoritative			C14_1800010118000101	eng	https://le.utah.gov/xcode/Title14/C14_1800010118000101.xml	2026-07-28	application/xml	14473	0240e7a5db98fbd31e225de56c1fea64b4863c97f4e4302acfa8cf884c836225
C15A_1800010118000101	Utah Code Title 15A	State Construction and Fire Codes Act	legislative	in-force		authoritative			C15A_1800010118000101	eng	https://le.utah.gov/xcode/Title15A/C15A_1800010118000101.xml	2026-07-28	application/xml	498570	34591a10891d043344f015c06f2f365bcc55fd16a744742c843e37177be67d16
C15_1800010118000101	Utah Code Title 15	Contracts and Obligations in General	legislative	in-force		authoritative			C15_1800010118000101	eng	https://le.utah.gov/xcode/Title15/C15_1800010118000101.xml	2026-07-28	application/xml	74791	033f887b3bfd5d7dd0a9b0e13493fa47622a4c5fd44a4f200218579294230e2e
C16_1800010118000101	Utah Code Title 16	Corporations	legislative	in-force	the Code records title-level <enddate> 10/1/2026	authoritative			C16_1800010118000101	eng	https://le.utah.gov/xcode/Title16/C16_1800010118000101.xml	2026-07-28	application/xml	2503170	603904dc03e4ae3dd148f25832cb54fc33266557352b6a2d89937205850efff3
C17B_1800010118000101	Utah Code Title 17B	Limited Purpose Local Government Entities - Special Districts	legislative	in-force		authoritative			C17B_1800010118000101	eng	https://le.utah.gov/xcode/Title17B/C17B_1800010118000101.xml	2026-07-28	application/xml	1065296	49becaf0f1e7910870eb4791e82bea07b7d33f8f36906190f1b0144e55a75fa2
C17C_2016051020160510	Utah Code Title 17C	Limited Purpose Local Government Entities - Community Reinvestment Agency Act	legislative	in-force	the Code records title-level <effdate> 5/10/2016	authoritative			C17C_2016051020160510	eng	https://le.utah.gov/xcode/Title17C/C17C_2016051020160510.xml	2026-07-28	application/xml	499541	88e71082712e5b03b6c951f354482ec439e1b525f692ce291512a4f15b81133e
C17D_1800010118000101	Utah Code Title 17D	Limited Purpose Local Government Entities - Other Entities	legislative	in-force		authoritative			C17D_1800010118000101	eng	https://le.utah.gov/xcode/Title17D/C17D_1800010118000101.xml	2026-07-28	application/xml	331297	fd63fedf6cd5e6a447ae1e297e30f17c79c3b238383e5b771e61cdd94d8f9f16
C17E_2025110620251206	Utah Code Title 17E	Counties and State Government	legislative	in-force	the Code records title-level <effdate> 11/6/2025	authoritative			C17E_2025110620251206	eng	https://le.utah.gov/xcode/Title17E/C17E_2025110620251206.xml	2026-07-28	application/xml	45985	740cf084b3ec08b9789e273806e7eaa64bcd9cbd2379ef600b5d64143b835478
C17_1800010118000101	Utah Code Title 17	Counties	legislative	in-force		authoritative			C17_1800010118000101	eng	https://le.utah.gov/xcode/Title17/C17_1800010118000101.xml	2026-07-28	application/xml	1949068	d84dea90256a5e02907ad5ea15f5f0a3edb5d932fc0c6aa1a5fb619877bf4301
C18_1800010118000101	Utah Code Title 18	Dogs	legislative	in-force		authoritative			C18_1800010118000101	eng	https://le.utah.gov/xcode/Title18/C18_1800010118000101.xml	2026-07-28	application/xml	19059	76ba136515f18ae519ad1e40e001ae69280f1ce092a3a0729bc4abe354150568
C19_1800010118000101	Utah Code Title 19	Environmental Quality Code	legislative	in-force		authoritative			C19_1800010118000101	eng	https://le.utah.gov/xcode/Title19/C19_1800010118000101.xml	2026-07-28	application/xml	1390774	e95460bb9bbb61702576626b2b62f6cdc1581153db6ed2bd5d0195f348f98833
C20A_1800010118000101	Utah Code Title 20A	Election Code	legislative	in-force		authoritative			C20A_1800010118000101	eng	https://le.utah.gov/xcode/Title20A/C20A_1800010118000101.xml	2026-07-28	application/xml	2422082	0cd566f7bd1d1d79db67f30b06f3534135106469fcc0e11a4e054522003c8485
C23A_2023050320230701	Utah Code Title 23A	Wildlife Resources Act	legislative	in-force	the Code records title-level <effdate> 7/1/2023	authoritative			C23A_2023050320230701	eng	https://le.utah.gov/xcode/Title23A/C23A_2023050320230701.xml	2026-07-28	application/xml	588254	05ef86b3b4f404079874f33b104a51e2b4ba50c371e8ea1accf6be6910543eef
C25_1800010118000101	Utah Code Title 25	Fraud	legislative	in-force		authoritative			C25_1800010118000101	eng	https://le.utah.gov/xcode/Title25/C25_1800010118000101.xml	2026-07-28	application/xml	51271	82e44f02ddb98f17c57def989cebd5d3cac6e558c7d86a6c426c99a2f2c1f1a6
C26A_1800010118000101	Utah Code Title 26A	Local Health Authorities	legislative	in-force		authoritative			C26A_1800010118000101	eng	https://le.utah.gov/xcode/Title26A/C26A_1800010118000101.xml	2026-07-28	application/xml	93305	3003456165e0772340e3e5c6050cfb98eb3fb3f449e0e2c4bcf595ae33ec64d2
C26B_2022050420220701	Utah Code Title 26B	Utah Health and Human Services Code	legislative	in-force	the Code records title-level <effdate> 7/1/2022	authoritative			C26B_2022050420220701	eng	https://le.utah.gov/xcode/Title26B/C26B_2022050420220701.xml	2026-07-28	application/xml	3581358	0e60c3e9f0e05134d21f3da0bd1c0e84f315797482055d0c0f6b69a6c6d3bb1e
C29_1800010118000101	Utah Code Title 29	Hotels and Hotel Keepers	legislative	in-force		authoritative			C29_1800010118000101	eng	https://le.utah.gov/xcode/Title29/C29_1800010118000101.xml	2026-07-28	application/xml	11923	f3f3ef64414568bbf6676031a9f808421e24f447e840cdc225768f9c91b79ea7
C31A_1800010118000101	Utah Code Title 31A	Insurance Code	legislative	in-force		authoritative			C31A_1800010118000101	eng	https://le.utah.gov/xcode/Title31A/C31A_1800010118000101.xml	2026-07-28	application/xml	5074085	47f7273c3d3de2117a11ccba2692eb8bc6df32ea54bb779042b77978ca3bd4f3
C32B_1800010118000101	Utah Code Title 32B	Alcoholic Beverage Control Act	legislative	in-force		authoritative			C32B_1800010118000101	eng	https://le.utah.gov/xcode/Title32B/C32B_1800010118000101.xml	2026-07-28	application/xml	1369286	479a0bb86131de11466cbd9514a75f0c53163ab7377ef2a98e61baefb96e4d3f
C34A_1800010118000101	Utah Code Title 34A	Utah Labor Code	legislative	in-force		authoritative			C34A_1800010118000101	eng	https://le.utah.gov/xcode/Title34A/C34A_1800010118000101.xml	2026-07-28	application/xml	751392	cd05a1bc98e49c12d1d44c70ae4bcdb0c636c68b921981bedf6a05398f24ba6d
C34_1800010118000101	Utah Code Title 34	Labor in General	legislative	in-force		authoritative			C34_1800010118000101	eng	https://le.utah.gov/xcode/Title34/C34_1800010118000101.xml	2026-07-28	application/xml	414730	736614ea9f16b03ebb0f82074513e81969fc58efe9053c371543b4e79c0e173e
C35A_1800010118000101	Utah Code Title 35A	Utah Workforce Services Code	legislative	in-force		authoritative			C35A_1800010118000101	eng	https://le.utah.gov/xcode/Title35A/C35A_1800010118000101.xml	2026-07-28	application/xml	929893	158d118d4de6ee5c4abcddeb8a8552aa1330c045ceeb64e205317af918ca8973
C36_1800010118000101	Utah Code Title 36	Legislature	legislative	in-force		authoritative			C36_1800010118000101	eng	https://le.utah.gov/xcode/Title36/C36_1800010118000101.xml	2026-07-28	application/xml	334567	27855f93f0a932fb4ec80105e3848cbec44ebe01993f34f5baf14b775d7f5ee7
C38_1800010118000101	Utah Code Title 38	Liens	legislative	in-force		authoritative			C38_1800010118000101	eng	https://le.utah.gov/xcode/Title38/C38_1800010118000101.xml	2026-07-28	application/xml	384587	369990e0e704a45a533674c5478a8b0360d379f00d37a84ece55ca4f8b4414ba
C39A_2022050420220504	Utah Code Title 39A	National Guard and Militia Act	legislative	in-force	the Code records title-level <effdate> 5/4/2022	authoritative			C39A_2022050420220504	eng	https://le.utah.gov/xcode/Title39A/C39A_2022050420220504.xml	2026-07-28	application/xml	198479	3d6790a2e24c463dec64bd2f86683fdacd0ab00bab73029544ec83808d4c2088
C3_1800010118000101	Utah Code Title 3	Uniform Agricultural Cooperative Association Act	legislative	in-force		authoritative			C3_1800010118000101	eng	https://le.utah.gov/xcode/Title3/C3_1800010118000101.xml	2026-07-28	application/xml	130209	9c1af643fdf45ea9281f01ccafdf26d67169d72d9c177097579bf0529bf53d71
C40_1800010118000101	Utah Code Title 40	Mines and Mining	legislative	in-force		authoritative			C40_1800010118000101	eng	https://le.utah.gov/xcode/Title40/C40_1800010118000101.xml	2026-07-28	application/xml	633308	a605041eeaa08c34fc2db902338891240ca16616d2c4003488c4972d28e8d400
C41_1800010118000101	Utah Code Title 41	Motor Vehicles	legislative	in-force		authoritative			C41_1800010118000101	eng	https://le.utah.gov/xcode/Title41/C41_1800010118000101.xml	2026-07-28	application/xml	2331853	ccad4b62a8824a46cf6dc480a4858fe1512c8496902c3b1bb6409f313713b21b
C42_1800010118000101	Utah Code Title 42	Names	legislative	in-force		authoritative			C42_1800010118000101	eng	https://le.utah.gov/xcode/Title42/C42_1800010118000101.xml	2026-07-28	application/xml	39846	5e1f33ec50052ca394b26db73b88fe75e97bcfbe072416ae5793275a1f4dbc16
C43_1800010118000101	Utah Code Title 43	Negotiable Certificates	legislative	in-force		authoritative			C43_1800010118000101	eng	https://le.utah.gov/xcode/Title43/C43_1800010118000101.xml	2026-07-28	application/xml	4443	b526ac6a57d91c51bd75c8a4b8ad14037f09ae82561b556294b1a456ddac2a6b
C45_1800010118000101	Utah Code Title 45	Publication and Broadcasting	legislative	in-force		authoritative			C45_1800010118000101	eng	https://le.utah.gov/xcode/Title45/C45_1800010118000101.xml	2026-07-28	application/xml	49072	86e7bd005de991e802a8ffadbbf7660e58d21946a18b34e7d0bd70d5428ded1c
C46_2018050820190101	Utah Code Title 46	Notarization and Authentication of Documents, Electronic Signatures, and Legal Material	legislative	in-force	the Code records title-level <effdate> 1/1/2019	authoritative			C46_2018050820190101	eng	https://le.utah.gov/xcode/Title46/C46_2018050820190101.xml	2026-07-28	application/xml	160997	89a204ae4c6efbb99d348e35e35feffd4e1a870058ca7ef175c1ea26cb2fcca1
C48_1800010118000101	Utah Code Title 48	Unincorporated Business Entity Act	legislative	in-force		authoritative			C48_1800010118000101	eng	https://le.utah.gov/xcode/Title48/C48_1800010118000101.xml	2026-07-28	application/xml	1124297	a738b49f4522716b0dcecb82de38c499e74166932eb5f9901445a1db3453d09c
C49_1800010118000101	Utah Code Title 49	Utah State Retirement and Insurance Benefit Act	legislative	in-force		authoritative			C49_1800010118000101	eng	https://le.utah.gov/xcode/Title49/C49_1800010118000101.xml	2026-07-28	application/xml	1047626	8feed878016aec3cbd410382cdd2dc05a3b7d0acfececb91570b6a03ec220fbe
C4_1800010118000101	Utah Code Title 4	Utah Agricultural Code	legislative	in-force		authoritative			C4_1800010118000101	eng	https://le.utah.gov/xcode/Title4/C4_1800010118000101.xml	2026-07-28	application/xml	1487523	b0737729342c98efb2c7da1abc73126919e862c2ceff927ce5901294ef2295eb
C50_1800010118000101	Utah Code Title 50	Pools and Trusts	legislative	in-force		authoritative			C50_1800010118000101	eng	https://le.utah.gov/xcode/Title50/C50_1800010118000101.xml	2026-07-28	application/xml	4248	0dda2842d227fc81c7b75bd0721ade9802e05883604d03c9309278a9a3bdb8db
C51_1800010118000101	Utah Code Title 51	Public Funds and Accounts	legislative	in-force		authoritative			C51_1800010118000101	eng	https://le.utah.gov/xcode/Title51/C51_1800010118000101.xml	2026-07-28	application/xml	310737	bb48368336fac7afe9c526c97f4fb59e485bde2a5f07933b511c33b2d0ae889c
C52_1800010118000101	Utah Code Title 52	Public Officers	legislative	in-force		authoritative			C52_1800010118000101	eng	https://le.utah.gov/xcode/Title52/C52_1800010118000101.xml	2026-07-28	application/xml	117188	1e8dbb42b7051ff832de77a708a0ae9201ac970d61a8dc8cc1715f933113b572
C53C_1800010118000101	Utah Code Title 53C	School and Institutional Trust Lands Management Act	legislative	in-force		authoritative			C53C_1800010118000101	eng	https://le.utah.gov/xcode/Title53C/C53C_1800010118000101.xml	2026-07-28	application/xml	160779	3069404a0421c8c5db6318a6dbb7b50eaada11b575b16a671a88f90149e2f4f5
