title	version	url	retrieved	bytes	sha256
53C	C53C_1800010118000101	https://le.utah.gov/xcode/Title53C/C53C_1800010118000101.xml	2026-07-28	160779	3069404a0421c8c5db6318a6dbb7b50eaada11b575b16a671a88f90149e2f4f5
53D	C53D_2018050820180701	https://le.utah.gov/xcode/Title53D/C53D_2018050820180701.xml	2026-07-28	97759	21aa336ade59c31575d3288499b4a4a76302c8c975adf88fa680b7ddfc1e056f
53E	C53E_2018012420180124	https://le.utah.gov/xcode/Title53E/C53E_2018012420180124.xml	2026-07-28	1039941	4c4217ea9ef275bf42d4d957174acac0512cdb66bd9a9b9f52fec2d60680a527
53F	C53F_2018012420180124	https://le.utah.gov/xcode/Title53F/C53F_2018012420180124.xml	2026-07-28	869616	587c72ab68a0c076c8a98fdd43fc97ea7d80ab15167c2036cc0026b116ab6804
53G	C53G_2018012420180124	https://le.utah.gov/xcode/Title53G/C53G_2018012420180124.xml	2026-07-28	1743560	dc0ed49bbb45cc0b10ee15e652e3cf6d51a700e97a808c4a4a845d4766bd6a11
53H	C53H_2025101420251206	https://le.utah.gov/xcode/Title53H/C53H_2025101420251206.xml	2026-07-28	1319804	d87cd5a5bb90e992580c38b998b6898197d506b5832db1b5eb26441c24df5f6c
54	C54_1800010118000101	https://le.utah.gov/xcode/Title54/C54_1800010118000101.xml	2026-07-28	1123453	687905260b964abebc5a28e23119005c859fa2fe6b313e94501b69777562b92e
55	C55_1800010118000101	https://le.utah.gov/xcode/Title55/C55_1800010118000101.xml	2026-07-28	15494	d8c88e29ac27f560733ff529b37da58074ef7dffe3dfd20f6137ebda6bdf4e0e
56	C56_1800010118000101	https://le.utah.gov/xcode/Title56/C56_1800010118000101.xml	2026-07-28	57214	073f16ce2d949f4da14eb9def29508f0b0ca28e4d7df0316b1d748a660cc4fad
57	C57_1800010118000101	https://le.utah.gov/xcode/Title57/C57_1800010118000101.xml	2026-07-28	1427005	9d19ef077581d2b9048d7f63ffb72cde5f29cf9853764a6429b8b29bbd9be7ad
58	C58_1800010118000101	https://le.utah.gov/xcode/Title58/C58_1800010118000101.xml	2026-07-28	4386909	57ebecc12cc6f1d3a703a7b38bc91f10e5a11de8fa717fc78eabb7a50b5041a7
59	C59_1800010118000101	https://le.utah.gov/xcode/Title59/C59_1800010118000101.xml	2026-07-28	5038425	bbb8c591de11535f9ae7fe63699cc38861974526cee12ef25d5dde9ad3d0a75e
61	C61_1800010118000101	https://le.utah.gov/xcode/Title61/C61_1800010118000101.xml	2026-07-28	868103	38b3bb5cc118423a4ebeb4610c29e1919cdc71b50454bfec3682da3281caded9
63A	C63A_2021050520210701	https://le.utah.gov/xcode/Title63A/C63A_2021050520210701.xml	2026-07-28	1480164	98cc7710da45efd827fbf1f1578d003f865cb29a27615f71aa38f2b82d482411
63B	C63B_1800010118000101	https://le.utah.gov/xcode/Title63B/C63B_1800010118000101.xml	2026-07-28	1198103	bc5c085e4c94fdcf92a25348070306d19d05a67c8b2bc6bdeafa0ead50ba3826
63C	C63C_1800010118000101	https://le.utah.gov/xcode/Title63C/C63C_1800010118000101.xml	2026-07-28	169391	b177648cd1dcae563228c1a8f383fc0c51d4b891c21ecea9c672c75c52d69f40
63D	C63D_1800010118000101	https://le.utah.gov/xcode/Title63D/C63D_1800010118000101.xml	2026-07-28	11452	8e046f792a0ca515b4b9f58b50869b5f73f2ff62a61eecb53e7d04a4dba19557
63E	C63E_1800010118000101	https://le.utah.gov/xcode/Title63E/C63E_1800010118000101.xml	2026-07-28	43895	56e59cc2815fa24d7a790568b3b393183f4469cff493ebc55acbdd820aaeaa93
63G	C63G_1800010118000101	https://le.utah.gov/xcode/Title63G/C63G_1800010118000101.xml	2026-07-28	1548583	c368b329d6d0bed5b13fc40cd6aeb339d1abb4d03bca9db22d568a83e8d77282
63H	C63H_1800010118000101	https://le.utah.gov/xcode/Title63H/C63H_1800010118000101.xml	2026-07-28	336535	3bd4ce1950da914807079bc51ecbaff026431581d316703a5f9c098a74f2e54b
63I	C63I_1800010118000101	https://le.utah.gov/xcode/Title63I/C63I_1800010118000101.xml	2026-07-28	157545	39b50a07ee9cca62dc92ce9e355c3cdf75a537d375bc482047b1219d025019ba
63J	C63J_1800010118000101	https://le.utah.gov/xcode/Title63J/C63J_1800010118000101.xml	2026-07-28	523325	f9325e1f8a8e7e897e67ce647629456c1974bbb0aae2331d73d603edfd533106
63L	C63L_1800010118000101	https://le.utah.gov/xcode/Title63L/C63L_1800010118000101.xml	2026-07-28	321289	aa35089ae78924bc81835f577ddf22e744d4f07d99a85db78b0bf339c035a580
63M	C63M_1800010118000101	https://le.utah.gov/xcode/Title63M/C63M_1800010118000101.xml	2026-07-28	54608	dbfd0614ccd39817312d4b72cc4a7ba122e90a446566414c7aa83b4252a6a9bb
63N	C63N_2021050520210701	https://le.utah.gov/xcode/Title63N/C63N_2021050520210701.xml	2026-07-28	1152313	2150a9b91df6a45719f6862630dda1b4fab9f70a26207f405b647670ab7c7c70
63O	C63O_2024050120240501	https://le.utah.gov/xcode/Title63O/C63O_2024050120240501.xml	2026-07-28	75456	afce46911dae9259bda85212900c31db0805af716c7786f96d08f73519ce5c50
64	C64_1800010118000101	https://le.utah.gov/xcode/Title64/C64_1800010118000101.xml	2026-07-28	283914	776e383e12790c8525c82eef1ca3c770a0a7e6a57b851310cf4f1f70860226db
65A	C65A_1800010118000101	https://le.utah.gov/xcode/Title65A/C65A_1800010118000101.xml	2026-07-28	285193	5dea328872bc9b7f6d45b4a45b671eca2fc47adf56483a55cbfc064fd184ea8f
67	C67_1800010118000101	https://le.utah.gov/xcode/Title67/C67_1800010118000101.xml	2026-07-28	894813	188d8eb478cce5a6918879bf8667e3550a6015040e739fdc8157dbca4ecff0aa
68	C68_1800010118000101	https://le.utah.gov/xcode/Title68/C68_1800010118000101.xml	2026-07-28	49370	d99a9dd706c6fd99ef8989567c38a35c7de5fc591b039ec2684b5d42abae0cf0
69	C69_1800010118000101	https://le.utah.gov/xcode/Title69/C69_1800010118000101.xml	2026-07-28	83404	4a44e54002805109db00e092eb54ab19944dc6ee3ab1e69c540ae61e482ab022
70	C70_1800010118000101	https://le.utah.gov/xcode/Title70/C70_1800010118000101.xml	2026-07-28	77692	c1fd458fa85e40541a8a1e7485456560f4f23664a4bff363386ed7cbab799099
70A	C70A_1800010118000101	https://le.utah.gov/xcode/Title70A/C70A_1800010118000101.xml	2026-07-28	1586234	72dce098d74a72f937985a7f0dbd4c79e6968438a48b606511c0ac145bd15026
70C	C70C_1800010118000101	https://le.utah.gov/xcode/Title70C/C70C_1800010118000101.xml	2026-07-28	116702	a9b593599b897c7ae1e41fd35433f65785f2135ae1e553a060cd7f9a3bc872d3
70D	C70D_1800010118000101	https://le.utah.gov/xcode/Title70D/C70D_1800010118000101.xml	2026-07-28	113263	7095d85111936f3b3f6b50f3f6e28a00e6e34c5e1cb47d29ec658c7c6b5cabf3
71A	C71A_2023050320230503	https://le.utah.gov/xcode/Title71A/C71A_2023050320230503.xml	2026-07-28	99414	a9f718fc74f12bc223e97d826ecdf9f53216241e16323a0e927e1b90e21e45be
72	C72_1800010118000101	https://le.utah.gov/xcode/Title72/C72_1800010118000101.xml	2026-07-28	1409457	f6e1def218715b9f31d582f67c73c23fc2a61bd95a0421bc08cd2f46da5f7a72
73	C73_1800010118000101	https://le.utah.gov/xcode/Title73/C73_1800010118000101.xml	2026-07-28	1521670	ed39f9dd3586556812d20ddf0b91082ab48c0019c0ff88c1c4dc6869ddd1e9a0
75	C75_1800010118000101	https://le.utah.gov/xcode/Title75/C75_1800010118000101.xml	2026-07-28	918858	c4d85e85c96bddd69f937dcafd2e06a6bce1e71439a6db3b94e4f6732a4ff3dd
75A	C75A_2024090120240501	https://le.utah.gov/xcode/Title75A/C75A_2024090120240501.xml	2026-07-28	467972	f9132e4ec23765ce6f553d9ad93141d010df67f004fcccb9fb09fcd161a208e9
75B	C75B_2024090120240501	https://le.utah.gov/xcode/Title75B/C75B_2024090120240501.xml	2026-07-28	256855	11f5d9ce419f70528f7619f02c7da3e6da4ff69df880d63f0f402d51ea2fe1c3
75E	C75E_2026050620260701	https://le.utah.gov/xcode/Title75E/C75E_2026050620260701.xml	2026-07-28	410805	198a0127a6650e7590307d3aa2f7b6aa6fc8de72b3c69db83b7997aeb3ebdcb3
76	C76_2026050620260701	https://le.utah.gov/xcode/Title76/C76_2026050620260701.xml	2026-07-28	2931623	347dd281768799846aa5f70f952c03819679b7d2033ad6858f07e128f7787356
77	C77_2026050620260701	https://le.utah.gov/xcode/Title77/C77_2026050620260701.xml	2026-07-28	1868574	e8db320c86ceae0f8b6ed633140bfe9ccf50328ef8d4ca76dead79614521ec5c
78A	C78A_1800010118000101	https://le.utah.gov/xcode/Title78A/C78A_1800010118000101.xml	2026-07-28	732194	e6fc2a22484e9f30d1d149f2a1b14d573c548966166306c646e48883f06def82
78B	C78B_1800010118000101	https://le.utah.gov/xcode/Title78B/C78B_1800010118000101.xml	2026-07-28	2028702	fcb304f788758b5f24eee94646c26a40dea34f805663697dc3ac6639b989d349
79	C79_1800010118000101	https://le.utah.gov/xcode/Title79/C79_1800010118000101.xml	2026-07-28	539713	ad624443b7d3fe37e7c36ce5cdb12f7695ab9593da1e29006d610a4de69a5ac3
80	C80_2021050520210901	https://le.utah.gov/xcode/Title80/C80_2021050520210901.xml	2026-07-28	1263416	c1b8ed582d4055d6366b39171691fc1a9f03e90069f21abb49fce0d1703f5c3b
81	C81_2024090120240501	https://le.utah.gov/xcode/Title81/C81_2024090120240501.xml	2026-07-28	1310072	60e2344559ff412f6cda859c71f09b3de131427e6a30a6f0b2109e979bf62bd4
